trade_date,symbol,pre_close,open,high,low,close,total_vol,total_amt,upper_limit,lower_limit
2022-12-14,600519.SH,1750.0,1743.0,1780.8,1743.0,1770.87,2909840,5141262368.0,1925.0,1575.0
2022-12-13,600519.SH,1739.02,1737.0,1760.69,1730.0,1750.0,2138546,3735089152.0,1912.92,1565.12
2022-12-12,600519.SH,1730.0,1715.86,1766.0,1715.0,1739.02,3475517,6063957619.0,1903.0,1557.0
2022-12-09,600519.SH,1687.02,1692.0,1730.0,1682.0,1730.0,3921526,6716944493.0,1855.72,1518.32
2022-12-08,600519.SH,1684.0,1682.0,1695.0,1665.0,1687.02,1972956,3323420877.0,1852.4,1515.6
2022-12-07,600519.SH,1688.0,1677.81,1720.0,1670.03,1684.0,3552626,6012253045.0,1856.8,1519.2
2022-12-06,600519.SH,1664.9,1655.0,1726.9,1652.0,1688.0,4414748,7477917194.0,1831.39,1498.41
2022-12-05,600519.SH,1633.88,1668.0,1679.0,1649.0,1664.9,3612746,6018521304.0,1797.27,1470.49
2022-12-02,600519.SH,1630.8,1635.0,1652.99,1621.2,1633.88,2388390,3910860618.0,1793.88,1467.72
2022-12-01,600519.SH,1599.0,1660.0,1680.0,1630.79,1630.8,5135768,8480772923.0,1758.9,1439.1
2022-11-30,600519.SH,1599.0,1587.12,1604.0,1585.0,1599.0,3149730,5019450678.0,1758.9,1439.1
2022-11-29,600519.SH,1509.88,1569.56,1600.0,1551.0,1599.0,7342013,11587859176.0,1660.87,1358.89
2022-11-28,600519.SH,1522.01,1484.78,1515.0,1451.0,1509.88,4772321,7040991068.0,1674.21,1369.81
2022-11-25,600519.SH,1519.99,1520.51,1532.0,1510.0,1522.01,1862104,2833988373.0,1671.99,1367.99
2022-11-24,600519.SH,1549.0,1559.0,1568.88,1513.98,1519.99,2768738,4241974248.0,1703.9,1394.1
2022-11-23,600519.SH,1539.95,1528.0,1557.0,1521.04,1549.0,2217746,3428793052.0,1693.95,1385.96
2022-11-22,600519.SH,1519.98,1517.44,1559.74,1516.11,1539.95,2990062,4582790131.0,1671.98,1367.98
2022-11-21,600519.SH,1567.13,1541.35,1541.35,1498.53,1519.98,3909600,5917086070.0,1723.84,1410.42
2022-11-18,600519.SH,1567.0,1576.0,1584.0,1556.0,1567.13,2360871,3703793426.0,1723.7,1410.3
2022-11-17,600519.SH,1585.25,1590.5,1596.3,1552.88,1567.0,3057988,4793001162.0,1743.78,1426.73
2022-11-16,600519.SH,1588.0,1581.0,1598.0,1568.0,1585.25,2684776,4250886805.0,1746.8,1429.2
2022-11-15,600519.SH,1533.0,1532.0,1598.97,1521.0,1588.0,5631760,8858377894.0,1686.3,1379.7
2022-11-14,600519.SH,1528.15,1543.5,1563.53,1528.0,1533.0,5737015,8858049581.0,1680.97,1375.34
2022-11-11,600519.SH,1475.0,1528.0,1544.45,1494.98,1528.15,7394715,11252112275.0,1622.5,1327.5
2022-11-10,600519.SH,1459.9,1444.0,1485.0,1435.15,1475.0,3771967,5518325849.0,1605.89,1313.91
